"Dataset: ACS 5-Year Estimates Public Use Microdata Sample (2023)"
"Weight: Housing Unit Weight (WGTP)"
"Universe:"
"Selected Geographies: Default (usually U.S.)"
"","Yearly food stamp/Supplemental Nutrition Assistance Program (SNAP) recipiency (FS)","","",""
"Citizenship status","Total Yearly food stamp/Supplemental Nutrition Assistance Program (SNAP) recipiency (FS)","N/A (vacant)","Yes","No"
"Total","315,475,116","0","44,459,401","271,015,715"
"Born in the U.S.","265,124,630","0","36,658,981","228,465,649"
"Born in Puerto Rico, Guam, the U.S. Virgin Islands, or the Northern Marianas","1,971,805","0","585,712","1,386,093"
"Born abroad of U.S. citizen parent or parents","3,366,313","0","424,978","2,941,335"
"U.S. citizen by naturalization","23,723,665","0","3,407,379","20,316,286"
"Not a citizen of the U.S.","21,288,703","0","3,382,351","17,906,352"
