"Dataset: ACS 5-Year Estimates Public Use Microdata Sample (2023)"
"Weight: Housing Unit Weight (WGTP)"
"Universe:"
"Selected Geographies: Default (usually U.S.)"
"","","","Citizenship status (CIT)","","","","","","","","","","","","","",""
"","","","Born in the U.S.","","","Born in Puerto Rico, Guam, the U.S. Virgin Islands, or the Northern Marianas","","","Born abroad of U.S. citizen parent or parents","","","U.S. citizen by naturalization","","","Not a citizen of the U.S.","",""
"","","","Asian recode (Asian alone or in combination with one or more other races) (RACASN)","","","Asian recode (Asian alone or in combination with one or more other races) (RACASN)","","","Asian recode (Asian alone or in combination with one or more other races) (RACASN)","","","Asian recode (Asian alone or in combination with one or more other races) (RACASN)","","","Asian recode (Asian alone or in combination with one or more other races) (RACASN)","",""
"Group","Yearly food stamp/Supplemental Nutrition Assistance Program (SNAP) recipiency","Total","Total Asian recode (Asian alone or in combination with one or more other races) (RACASN)","No","Yes","Total Asian recode (Asian alone or in combination with one or more other races) (RACASN)","No","Yes","Total Asian recode (Asian alone or in combination with one or more other races) (RACASN)","No","Yes","Total Asian recode (Asian alone or in combination with one or more other races) (RACASN)","No","Yes","Total Asian recode (Asian alone or in combination with one or more other races) (RACASN)","No","Yes"
"","Total","315,475,116","265,124,630","255,256,030","9,868,600","1,971,805","1,927,201","44,604","3,366,313","2,820,231","546,082","23,723,665","15,903,582","7,820,083","21,288,703","16,346,096","4,942,607"
" -> New Jersey/NJ","","7,553,855","7,553,855","7,193,276","360,579","0","0","0","0","0","0","0","0","0","0","0","0"
"","Yes","765,769","765,769","743,781","21,988","0","0","0","0","0","0","0","0","0","0","0","0"
"","No","6,788,086","6,788,086","6,449,495","338,591","0","0","0","0","0","0","0","0","0","0","0","0"
"","N/A (vacant)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> New York/NY","","19,637,082","19,637,082","18,759,010","878,072","0","0","0","0","0","0","0","0","0","0","0","0"
"","Yes","2,579,523","2,579,523","2,476,721","102,802","0","0","0","0","0","0","0","0","0","0","0","0"
"","No","17,057,559","17,057,559","16,282,289","775,270","0","0","0","0","0","0","0","0","0","0","0","0"
"","N/A (vacant)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Lithuania","","34,310","0","0","0","0","0","0","1,663","1,649","14","20,670","20,650","20","11,977","11,977","0"
"","Yes","1,900","0","0","0","0","0","0","167","167","0","1,164","1,164","0","569","569","0"
"","No","32,410","0","0","0","0","0","0","1,496","1,482","14","19,506","19,486","20","11,408","11,408","0"
"","N/A (vacant)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Azerbaijan","","27,150","0","0","0","0","0","0","877","820","57","17,972","17,734","238","8,301","7,342","959"
"","Yes","5,355","0","0","0","0","0","0","246","246","0","3,937","3,923","14","1,172","1,162","10"
